long,lat,AFFGEOID,NAME,STATEFP,miles,miles_roe,miles_strict,geoid,B01001026,B17001017,B17001046,pct_women_in_poverty,women_wo_ins,B27001030,pct_women_wo_insurance
-107.86288915821775,38.86135915376213,0500000US08029,Delta,08,40.62107802158567,40.62107802158567,40.62107802158567,05000US08029,15265,3149,11972,0.2082534223926989,1456,15153,0.09608658351481555
-106.11833045926544,40.10263076521179,0500000US08049,Grand,08,38.432301768796705,38.432301768796705,38.432301768796705,05000US08049,7150,710,6435,0.099370188943317,978,7145,0.13687893631910428
-108.466442363882,39.0183015237607,0500000US08077,Mesa,08,6.9894295057537255,6.9894295057537255,6.9894295057537255,05000US08077,77457,10197,65174,0.1352907616987966,5882,76915,0.07647402977312617
-108.59657713070746,37.33856249045793,0500000US08083,Montezuma,08,0.9983513171384096,0.9983513171384096,0.9983513171384096,05000US08083,13309,1659,11489,0.12617888652266504,1362,13199,0.10318963557845291
-107.769271301734,38.15546514289601,0500000US08091,Ouray,08,62.94007767893843,62.94007767893843,62.94007767893843,05000US08091,2490,212,2278,0.08514056224899598,300,2490,0.12048192771084337
-72.93224535265807,41.41062689247844,0500000US09009,New Haven,09,6.293930496622124,6.293930496622124,6.293930496622124,05000US09009,443329,52965,377097,0.12315666113258088,18262,439466,0.041554978087042
-77.01629384066112,38.90473393665951,0500000US11001,District of Columbia,11,0.8579227364269979,0.8579227364269979,0.8579227364269979,05000US11001,368837,58117,294179,0.16496639189772236,9971,366445,0.027210086097504402
-80.73227050224477,28.293721855664646,0500000US12009,Brevard,12,439.9948327804238,36.21732867781709,36.21732867781709,05000US12009,303545,36380,264304,0.12099080762528103,27742,301309,0.09207159427697148
-82.62153928836108,30.224248046035925,0500000US12023,Columbia,12,352.63711455275575,41.58555176335409,41.58555176335409,05000US12023,34244,4888,29031,0.14410802205253692,3824,34046,0.11231862773894143
-84.61362453922652,30.579478082700327,0500000US12039,Gadsden,12,364.7586120609066,18.777072238975816,18.777072238975816,05000US12039,23989,4906,17010,0.22385471801423618,2513,22027,0.11408725654878105
-81.34103830314814,27.34329433911779,0500000US12055,Highlands,12,514.624282888296,52.85848976080964,52.85848976080964,05000US12055,53862,8972,44007,0.169350119858812,5807,53324,0.10890030755382192
-83.89529237534241,30.437489290470776,0500000US12065,Jefferson,12,362.8820524535332,20.516850412343963,20.516850412343963,05000US12065,6659,1130,5429,0.1722823601158713,534,6586,0.08108108108108109
-84.27789669050308,30.458040822412116,0500000US12073,Leon,12,366.91740489246513,2.3639093132116047,2.3639093132116047,05000US12073,153611,28456,116578,0.19620226981259567,9762,151807,0.06430533506360049
-81.32351241041457,28.514424652034876,0500000US12095,Orange,12,440.64565522254907,3.6185386818853575,3.6185386818853575,05000US12095,700328,103072,582393,0.15036799836607267,84622,697042,0.12140157981871967
-81.74430345445174,29.60865248503494,0500000US12107,Putnam,12,383.4774987019689,35.90030337667635,35.90030337667635,05000US12107,37496,9230,27728,0.24974295145841224,5506,37246,0.14782795467969714
-83.6035200137198,30.04701508355894,0500000US12123,Taylor,12,384.27467477835705,47.32155256982172,47.32155256982172,05000US12123,9582,1979,7468,0.20948449243145972,765,9522,0.08034026465028356
-81.18192064665303,29.0584206905672,0500000US12127,Volusia,12,403.3456349046072,12.965114490578753,12.965114490578753,05000US12127,280025,38620,236080,0.14058973425555152,26964,277857,0.09704272341528196
-86.16965567901303,30.643581658611307,0500000US12131,Walton,12,399.5947415263118,63.971984217959985,63.971984217959985,05000US12131,35198,3997,30858,0.11467508248457897,3942,34876,0.11302901708911572
-85.66533264373523,30.61060117392474,0500000US12133,Washington,12,387.0973095785655,80.05565647714324,80.05565647714324,05000US12133,11536,2767,8734,0.24058777497608905,1605,11506,0.13949243872762038
-83.24955570195826,33.06926620570478,0500000US13009,Baldwin,13,177.621409214084,71.4959344187464,177.621409214084,05000US13009,22400,5325,15536,0.255261013374239,2156,22201,0.09711274266924913
